,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Victoria,HK,88.18,scattered clouds,22.2855,114.1577,Mini Central
10,Misratah,LY,75.04,few clouds,32.3754,15.0925,Almasa Hotel
16,Sao Filipe,CV,78.1,overcast clouds,14.8961,-24.4956,Hotel Xaguate
24,Sao Raimundo Das Mangabeiras,BR,81.03,clear sky,-7.0219,-45.4811,Hotel Tropical
26,Hambantota,LK,80.8,overcast clouds,6.1241,81.1185,Bungalow 63
27,Kapaa,US,84.18,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
29,Atuona,PF,76.84,scattered clouds,-9.8,-139.0333,Villa Enata
32,Mount Isa,AU,80.37,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
39,Bannu,PK,81.18,clear sky,32.9854,70.6027,Oxford Hostel
48,Hithadhoo,MV,82.47,overcast clouds,-0.6,73.0833,Scoop Guest House
60,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
62,Butaritari,KI,82.09,light rain,3.0707,172.7902,Isles Sunset Lodge
68,Vetapalem,IN,79.63,overcast clouds,15.7833,80.3167,Lelavathi hotel
71,Eyl,SO,75.85,broken clouds,7.9803,49.8164,EYL AQUE SYSTEM
73,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
78,Dingle,PH,85.55,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
79,Puerto Colombia,CO,77.09,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
82,Jeremie,HT,81.43,scattered clouds,18.65,-74.1167,Auberge’Inn
83,Sampit,ID,78.04,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
84,Salalah,OM,75.96,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
97,Honiara,SB,86.27,scattered clouds,-9.4333,159.95,Heritage Park Hotel
101,Georgetown,MY,83.89,few clouds,5.4112,100.3354,Cititel Penang
106,Vaini,TO,75.36,thunderstorm,-21.2,-175.2,Keleti Beach Resort
109,Port-Gentil,GA,77.02,broken clouds,-0.7193,8.7815,Fengshui Residence
110,Hilo,US,83.25,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
117,Moussoro,TD,85.01,overcast clouds,13.6408,16.4901,Pharmacie alnadja Moussoro
121,Hobyo,SO,76.33,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
126,Teluknaga,ID,86.18,haze,-6.0989,106.6381,Teluk Naga Seliong
128,Nova Olinda Do Norte,BR,78.96,broken clouds,-3.8881,-59.0942,Casa Juazeiro
129,Puerto Escondido,MX,79.93,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
132,Sungairaya,ID,79.56,overcast clouds,0.7,108.9,Rumah Kuku Moimoi Shelly
133,Las Vegas,US,88.16,few clouds,36.175,-115.1372,Plaza Hotel & Casino
136,Touros,BR,76.01,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
139,Faanui,PF,78.58,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
142,San Patricio,US,77.54,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
145,Mandera,KE,76.32,few clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
159,Wenatchee,US,75.36,clear sky,47.4235,-120.3103,SpringHill Suites by Marriott Wenatchee
162,Guruyan,PH,85.41,overcast clouds,12.7389,123.9392,City Park
165,Matoury,GF,76.96,clear sky,4.8483,-52.3317,Hôtel La Marmotte
169,Alice Springs,AU,78.35,clear sky,-23.7,133.8833,Desert Palms Alice Springs
184,Axim,GH,75.11,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
185,San Policarpo,PH,82.51,light rain,12.1791,125.5072,Agapita M. Nicart
186,Pitimbu,BR,75.79,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
188,La Palma,US,79.92,few clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
189,Mont-Dore,NC,78.78,clear sky,-22.2833,166.5833,GIte
196,Baracoa,CU,79.27,broken clouds,20.3467,-74.4958,Hostal Rio Miel
197,Bengkulu,ID,79.05,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
198,Sorong,ID,83.32,broken clouds,-0.8833,131.25,Waigo Splash Hotel
199,Katobu,ID,87.8,overcast clouds,-4.9408,122.5276,La Ode Husein
205,Takhatpur,IN,76.17,light rain,22.15,81.8667,School nigarband
206,Nagua,DO,78.66,overcast clouds,19.3832,-69.8474,Hotel Cambri
208,Gat,IL,75.4,clear sky,31.61,34.7642,OlusHome
210,Kampot,KH,82.45,overcast clouds,10.6167,104.1833,Two Moons Hotel
211,Atambua,ID,83.57,overcast clouds,-9.1061,124.8925,Ros Muskanan
212,Ladario,BR,79.79,clear sky,-19.0047,-57.6017,Hotel Fazenda 4 cantos
216,Bontang,ID,80.04,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
218,Fuzhou,CN,78.69,overcast clouds,26.0614,119.3061,Shangri La Hotel Fuzhou
226,Kirkuk,IQ,82.35,clear sky,35.4681,44.3922,Cihad Oteli
227,Trincomalee,LK,80.58,overcast clouds,8.5711,81.2335,Welcombe Hotel
232,Saint George,US,82.94,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
234,Tual,ID,83.12,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
235,Loandjili,CG,75.22,broken clouds,-4.7561,11.8578,Résidence ARCHANGE
240,Irbil,IQ,78.62,clear sky,36.1926,44.0106,Erbil International Hotel
245,Naze,JP,83.32,clear sky,28.3667,129.4833,Shishime Hotel
260,Chimore,BO,77.31,scattered clouds,-16.9833,-65.1333,Bichito
266,Samarai,PG,80.94,light rain,-10.6167,150.6667,Nuli Sapi
267,Tiarei,PF,84.22,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
274,Sakakah,SA,78.37,few clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
276,Namatanai,PG,86.34,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
279,Maningrida,AU,88.12,broken clouds,-12.0667,134.2667,Dhukurrdji Lodge
283,Bonoua,CI,76.62,overcast clouds,5.2741,-3.595,Hotel Bon Samaritian
287,Kandrian,PG,84.76,moderate rain,-6.2167,149.55,Kandrian Station
289,Serendah,MY,82.18,overcast clouds,3.3646,101.6041,"Carpe Diem, Orchard Home, Serendah"
295,Marawi,PH,80.08,broken clouds,7.9986,124.2928,Derogongan Residence
298,Cairns,AU,88.07,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
300,Pathein,MM,80.71,broken clouds,16.7833,94.7333,Pathein Hotel
301,Weligama,LK,79.34,light rain,5.9667,80.4167,Weligama Bay Resort
