City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mahebourg,MU,-20.4081,57.7,70.25,78,20,6.91,few clouds
1,Mingyue,CN,43.1069,128.9217,43.03,55,5,8.43,clear sky
2,Albany,US,42.6001,-73.9662,49.68,78,100,1.88,overcast clouds
3,Kodiak,US,57.79,-152.4072,51.31,82,100,8.05,haze
4,Katsuura,JP,35.1333,140.3,77.2,70,73,19.28,broken clouds
5,Castro,BR,-24.7911,-50.0119,56.52,97,100,4.27,overcast clouds
6,Maloy,NO,61.9353,5.1136,54.73,62,100,14.74,light rain
7,Saint George,US,37.1041,-113.5841,79.39,31,0,13.8,clear sky
8,Salalah,OM,17.0151,54.0924,75.29,88,75,2.3,broken clouds
9,Bandarbeyla,SO,9.4942,50.8122,76.87,77,26,21.52,scattered clouds
10,Khatanga,RU,71.9667,102.5,14.94,87,100,6.82,overcast clouds
11,Ayan,RU,56.45,138.1667,36.25,46,95,15.93,overcast clouds
12,Bluff,NZ,-46.6,168.3333,45.32,89,100,20.47,overcast clouds
13,Kaitangata,NZ,-46.2817,169.8464,58.24,48,67,13.8,broken clouds
14,Pevek,RU,69.7008,170.3133,29.37,76,100,8.72,overcast clouds
15,Mackay,AU,-21.15,149.2,74.68,66,100,15.88,overcast clouds
16,Severo-Kurilsk,RU,50.6789,156.125,53.46,72,98,15.28,overcast clouds
17,Kavieng,PG,-2.5744,150.7967,85.75,64,100,9.01,overcast clouds
18,Avarua,CK,-21.2078,-159.775,78.85,69,20,19.57,few clouds
19,Chokurdakh,RU,70.6333,147.9167,24.53,84,98,4.52,overcast clouds
20,Ushuaia,AR,-54.8,-68.3,46.06,66,0,3.44,clear sky
21,Bredasdorp,ZA,-34.5322,20.0403,50.36,89,0,6.53,clear sky
22,Kulhudhuffushi,MV,6.6221,73.07,80.8,79,100,15.48,overcast clouds
23,Esperance,AU,-33.8667,121.9,60.64,78,44,11.5,scattered clouds
24,Rawson,AR,-43.3002,-65.1023,56.48,66,100,9.1,overcast clouds
25,Atar,MR,20.5169,-13.0499,90.66,33,98,6.13,overcast clouds
26,Grand-Lahou,CI,5.1367,-5.0242,74.79,95,66,5.44,broken clouds
27,Port Elizabeth,ZA,-33.918,25.5701,59.29,85,0,17.27,clear sky
28,Cape Town,ZA,-33.9258,18.4232,56.12,89,20,6.91,few clouds
29,Poum,NC,-20.2333,164.0167,74.26,63,1,16.24,clear sky
30,Busselton,AU,-33.65,115.3333,57.65,65,0,12.95,clear sky
31,Vaini,TO,-21.2,-175.2,82.56,69,75,14.97,broken clouds
32,Bealanana,MG,-14.55,48.7333,55.83,95,95,2.71,overcast clouds
33,Cayenne,GF,4.9333,-52.3333,78.84,83,0,2.3,clear sky
34,Hilo,US,19.7297,-155.09,84.27,82,75,9.22,broken clouds
35,Parry Sound,CA,45.3501,-80.033,46.45,93,100,2.62,overcast clouds
36,Stabat,ID,3.761,98.4513,77.2,91,100,2.44,overcast clouds
37,Torbay,CA,47.6666,-52.7314,45.16,73,0,3.44,clear sky
38,Jamestown,US,42.097,-79.2353,47.84,65,0,5.75,clear sky
39,Skibbereen,IE,51.55,-9.2667,61.11,91,100,21.68,overcast clouds
40,Saskylakh,RU,71.9167,114.0833,13.8,96,93,6.04,overcast clouds
41,Nynashamn,SE,58.9034,17.9479,47.1,87,6,15.28,clear sky
42,Usinsk,RU,65.9939,57.5281,38.93,80,100,7.25,overcast clouds
43,Punta Arenas,CL,-53.15,-70.9167,42.91,87,75,8.05,broken clouds
44,Tuktoyaktuk,CA,69.4541,-133.0374,24.8,86,100,14.97,overcast clouds
45,Vanavara,RU,60.34,102.2797,26.6,78,21,4.59,few clouds
46,Kindu,CD,-2.95,25.95,68.02,99,55,2.13,broken clouds
47,Souillac,MU,-20.5167,57.5167,70.18,78,20,6.91,few clouds
48,Oranjestad,AW,12.524,-70.027,84.15,74,20,13.8,few clouds
49,Linfen,CN,36.0889,111.5189,54.52,64,100,10.87,overcast clouds
50,Pryozerne,UA,45.2698,36.3303,58.17,64,100,7.45,overcast clouds
51,Udachnyy,RU,66.4167,112.4,17.46,78,49,4.9,scattered clouds
52,Thompson,CA,55.7435,-97.8558,39.36,81,20,0.0,few clouds
53,Tasiilaq,GL,65.6145,-37.6368,33.96,99,100,8.79,light snow
54,Deder,ET,9.3167,41.45,55.09,88,99,4.76,light rain
55,Kapaa,US,22.0752,-159.319,84.18,68,0,14.97,clear sky
56,Madang,PG,-5.2246,145.7966,85.51,65,11,3.87,few clouds
57,Rikitea,PF,-23.1203,-134.9692,71.35,66,100,19.53,overcast clouds
58,Mar Del Plata,AR,-38.0023,-57.5575,53.1,88,0,8.05,clear sky
59,Saint-Philippe,RE,-21.3585,55.7679,67.59,83,44,13.33,scattered clouds
60,Broome,US,42.2506,-75.833,51.01,73,0,11.5,clear sky
61,Cidreira,BR,-30.1811,-50.2056,55.76,73,0,8.72,clear sky
62,Ribeira Grande,PT,38.5167,-28.7,69.66,82,100,3.02,overcast clouds
63,Batticaloa,LK,7.7102,81.6924,78.28,73,100,6.33,overcast clouds
64,Hami,CN,42.8,93.45,50.97,13,27,4.05,scattered clouds
65,Port Alfred,ZA,-33.5906,26.891,58.17,86,100,4.0,overcast clouds
66,Okhotsk,RU,59.3833,143.3,36.84,50,100,6.6,overcast clouds
67,Sabang,ID,5.8933,95.3214,80.91,77,86,18.12,light rain
68,Padang,ID,-0.9492,100.3543,78.85,90,100,3.24,overcast clouds
69,Batemans Bay,AU,-35.7167,150.1833,65.1,56,69,8.08,broken clouds
70,Klaksvik,FO,62.2266,-6.589,52.72,98,100,24.99,overcast clouds
71,Lompoc,US,34.6391,-120.4579,72.79,79,4,5.01,clear sky
