City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kapaa,US,2022-10-03 05:37:19,22.0752,-159.319,80.58,82,40,17.27
1,Rikitea,PF,2022-10-03 05:37:20,-23.1203,-134.9692,73.85,74,70,4.72
2,Kahului,US,2022-10-03 05:37:20,20.8947,-156.47,75.22,92,75,6.91
3,Jalu,LY,2022-10-03 05:37:22,29.0331,21.5482,71.82,61,0,12.08
4,Cape Town,ZA,2022-10-03 05:36:03,-33.9258,18.4232,60.12,85,75,9.22
5,Seoul,KR,2022-10-03 05:37:23,37.5683,126.9778,74.8,94,100,10.36
6,Hovd,MN,2022-10-03 05:37:23,48.0056,91.6419,33.96,23,0,7.09
7,Thompson,CA,2022-10-03 05:37:24,55.7435,-97.8558,57.36,67,0,10.36
8,Kandiari,PK,2022-10-03 05:37:24,26.9156,68.5216,91.51,44,0,9.66
9,Pedernales,DO,2022-10-03 05:37:25,18.0384,-71.744,80.49,70,68,3.78
10,Paso De Los Toros,UY,2022-10-03 05:37:26,-32.8167,-56.5167,47.7,87,2,6.71
11,Hilo,US,2022-10-03 05:37:27,19.7297,-155.09,79.29,86,40,3.44
12,Ushuaia,AR,2022-10-03 05:36:31,-54.8,-68.3,37.06,81,0,4.61
13,Taft,IR,2022-10-03 05:37:28,31.7471,54.2088,71.55,23,0,2.3
14,Tynda,RU,2022-10-03 05:37:29,55.1667,124.7167,30.15,61,99,9.6
15,Kloulklubed,PW,2022-10-03 05:37:29,7.0419,134.2556,88.3,73,96,8.52
16,La Mana,EC,2022-10-03 05:37:30,-0.9333,-79.2167,72.52,87,92,1.3
17,Dicabisagan,PH,2022-10-03 05:37:31,17.0818,122.4157,82.9,78,97,5.61
18,Chuy,UY,2022-10-03 05:37:31,-33.6971,-53.4616,49.15,83,5,8.39
19,Castro,BR,2022-10-03 05:37:32,-24.7911,-50.0119,57.51,98,58,7.07
20,Camana,PE,2022-10-03 05:37:33,-16.6228,-72.7111,61.0,81,67,6.08
21,Lata,PT,2022-10-03 05:37:33,40.1629,-8.3327,61.63,38,28,3.62
22,Hermanus,ZA,2022-10-03 05:37:34,-34.4187,19.2345,60.1,80,97,11.45
23,Machali,CL,2022-10-03 05:37:34,-34.1833,-70.6667,55.9,80,35,1.23
24,Dzaoudzi,YT,2022-10-03 05:37:35,-12.7887,45.2699,78.69,69,20,8.05
25,Aguimes,ES,2022-10-03 05:37:36,27.9054,-15.4461,70.43,53,20,10.36
26,Vaini,TO,2022-10-03 05:37:37,-21.2,-175.2,77.16,78,75,8.05
27,Jamestown,US,2022-10-03 05:37:38,42.097,-79.2353,44.71,63,0,6.91
28,Port Elizabeth,ZA,2022-10-03 05:37:38,-33.918,25.5701,63.32,84,20,21.85
29,Saint George,US,2022-10-03 05:34:41,37.1041,-113.5841,73.94,46,0,11.5
30,East London,ZA,2022-10-03 05:37:39,-33.0153,27.9116,63.54,77,0,12.66
31,Jacareacanga,BR,2022-10-03 05:37:40,-6.2222,-57.7528,70.93,98,69,2.26
32,Nanning,CN,2022-10-03 05:37:40,22.8167,108.3167,88.25,56,39,9.69
33,Moussoro,TD,2022-10-03 05:37:41,13.6408,16.4901,83.19,57,7,11.95
34,General Pico,AR,2022-10-03 05:37:41,-35.6566,-63.7568,55.81,49,65,10.22
35,Avera,US,2022-10-03 05:37:42,33.194,-82.5271,62.11,77,0,9.37
36,Fortuna,US,2022-10-03 05:37:42,40.5982,-124.1573,59.67,83,3,2.3
37,Konokovo,RU,2022-10-03 05:37:43,44.8616,41.3266,58.95,70,100,15.3
38,Port Alfred,ZA,2022-10-03 05:37:44,-33.5906,26.891,62.19,86,32,7.0
39,Tasiilaq,GL,2022-10-03 05:37:44,65.6145,-37.6368,35.76,99,100,9.73
40,Tuktoyaktuk,CA,2022-10-03 05:37:45,69.4541,-133.0374,23.0,93,40,3.44
41,Marmaris,TR,2022-10-03 05:37:46,36.855,28.2742,76.95,47,0,9.28
42,Agirish,RU,2022-10-03 05:38:46,61.9247,63.0231,43.02,92,100,11.07
43,Severo-Kurilsk,RU,2022-10-03 05:38:47,50.6789,156.125,48.74,73,91,9.71
44,Le Portel,FR,2022-10-03 05:38:47,50.7056,1.5757,43.99,80,70,6.24
45,Norman Wells,CA,2022-10-03 05:37:46,65.282,-126.8329,32.04,100,100,3.44
46,Barrow,US,2022-10-03 05:38:48,71.2906,-156.7887,26.62,80,100,13.8
47,Victoria,HK,2022-10-03 05:38:49,22.2855,114.1577,96.19,73,25,8.99
48,Ancud,CL,2022-10-03 05:38:49,-41.8697,-73.8203,48.7,77,100,5.23
